State,Brucella Submission Timeline,Clostridium Submission Timeline,STEC O157 Submission Timeline,STEC O157 Rank,STEC non-O157 Submission Timeline,Listeria monocytogenes Submission Timeline,"Salmonella spp., nontyphoidal Submission Timeline",S. enterica serotype Typhi Submission Timeline,Shigella spp. Submission Timeline,Staphylococcus aureus* (often only certain types) Submission Timeline,Streptococcus spp. Group A Submission Timeline,Cholera Submission Timeline,V. vulnificus Submission Timeline,V. parahaemolyticus Submission Timeline,Vibrio spp. Submission Timeline,Cryptosporidium spp. Submission Timeline,Cyclospora Cayetanensis Submission Timeline,Giardia intestinalis Submission Timeline,Trichinella spp. Submission Timeline,Hepatitis A virus Submission Timeline,Mycobacterium Bovis Submission Timeline
Alabama,168,24,168,4,n/a,24,168,24,168,n/a,n/a,24,168,168,168,168,n/a,168,24,24,n/a
Alaska,120.1,0,120.1,4,n/a,120.1,120.1,120.1,120.1,n/a,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,n/a,n/a
Arizona,24.1,24,24,1,24,24,120.1*,24,120.1*,24,120.1,24.1*,120.1*,120.1*,120.1*,120.1*,120.1,120.1*,120.1,120.1*,24.1
Arkansas,24,0,n/a,N,n/a,24,24,24,24,n/a,24,24,n/a,n/a,n/a,24,24,24,n/a,24,n/a
California,0,0,0,1,0,24.1,24.1,24.1,24.1,24.1,24.1,0,24.1,24.1,24.1,24.1,n/a,168,24.1,24.1,n/a
Colorado,168,24,168,4,168,168,168,24,168,168*,168,24,168,168,168,168,168,168,168,24,24
Connecticut,0,0,12,1,12,12,12,12,12,0*,12,0,12,12,12,12,12,n/a,12,12,12
Delaware,0,0,0,1,0,48,48,0,48,0*,0,0,48,48,48,48,48,48,48,0,n/a
District of Columbia,48,2,2,1,2,48,24,2,24,2,2,2,48,48,48,48,48,48,48,48,48 (lab)
Florida,0,0,0,1,0,0,24.2,0,24.2,0*,24.2,0,24.2,24.2,24.2,24.2,24.2,24.2,24.2,0,24.2
Georgia,0,0,0,1,0,168*,168*,168,168*,0,168,0,168,168,168,168*,168*,168*,n/a,0,n/a
Hawaii,0,0,72*,3,72*,72*,72*,0,72*,n/a,72,0,72*,72*,72*,72*,72,72*,72,0,n/a
Idaho,24.1,0,24.1,3,24.1,72.1,24.1,24.1,24.1,72.1,72.1,24.1,n/a,n/a,n/a,72.1,n/a,72.1,72.1,24.1,n/a
Illinois,3,3,8.1,1,24,168,168,24,168,24,24,24,168,168,168,168,168,168,168,24,n/a
Indiana,72,0,0,1,0,72,72,0,0,0,72,0,72,72,72,72,72,72,72,0,n/a
Iowa,72,0,72,3,72,24,72,24,72,0*,72,0,n/a,n/a,n/a,72,72,72,72,24,72
Kansas,168,4,168,4,168,168,168,168,168,n/a,168,4,n/a,n/a,n/a,168,168,168,168,168,n/a
Kentucky,0,0,24,1,24,24,24,24,24,0,24.1,24,24,24,n/a,24,n/a,n/a,n/a,24,24.1
Louisiana,24,24,24.1,3,24.1,72.2,24.1,24.1,24.1,24*,72.2,24,72.2,72.2,72.2,72.2,72.2,72.2,72.2,24.1,n/a
Maine,0,0,48,3,48,48,48,48,48,0*,48,48,48,48,48,48,n/a,48,48,0,n/a
Maryland,0,0,0,1,n/a,24.1,24.1,0,24.1,24.1,24.1,0,24.1,24.1,24.1,24.1,24.1,24.1,24.1,0,24.1
Massachusetts,0,0,24.1,3,24.1,24.1,24.1,0,24.1,0*,0,24.1,48.1,48.1,48.1,48.1,48.1,48.1,24.1,0,n/a
Michigan,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Minnesota,0,0,24.1,3,24.1,24.1,24.1,24.1,24.1,24.1,24.1,0,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1
Mississippi,24,24,24,1,24,168*,168*,24,168*,24,168*,24,168*,168*,168*,168*,n/a,n/a,168*,0,168 (lab)
Missouri,24,0,24,1,24,72,72,24,24,24,72,24,72,72,72,72,72,72,72,24,72
Montana,168,0,8,1,n/a,8,168,0,168,n/a,168,8,n/a,n/a,n/a,168,n/a,168,168,168,n/a
Nebraska,0,0,168,4,168,168,168,168,168,168,168,0,n/a,n/a,n/a,168,168,168,168,0*,168
Nevada,24.2,24,24.2,3,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,n/a,24.2,24.2,24.2,n/a
New Hampshire,24,24,72,3,72,72,72,24,72,n/a,72,24,24,24,24,72,72,72,72,24,n/a
New Jersey,0,0,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24
New Mexico,24,0,24,1,24,24,24,0,24,n/a,24,0,24,24,24,24,24,24,24,24,24
New York,0,0,24,1,24,24,24,0,24,24,24,0,24,24,24,24,24,24,24,24*,n/a
North Carolina,168,0,24,1,24,24,24,168*,24,24,168,24,24,24,24,24,24,n/a,168,24,n/a
North Dakota,0,0,168,4,168,168,168,0,168,0*,168,0,168,168,168,168,n/a,168,168,0,n/a
Ohio,72.2,0,24.2,3,24.3,24.3,24.3,24.3,24.3,24.3,72.2,0,72.2,72.2,72.2,72.2,24.3,72.2,72.2,24.3,24.3
Oklahoma,24.1,0,24.1,3,24.1,24.1,24.1,0,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,n/a,n/a,24.1,0,n/a
Oregon,24.1,0,24.1,3,24.1,24.1,24.1,24.1,24.1,168,n/a,0,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1
Pennsylvania,120.1,24,24,1,24,120.1,120.1,24,120.1,120.1,120.1,24,n/a,n/a,n/a,120.1,n/a,120.1,120.1,120.1,n/a
Rhode Island*,0,0,96,4,96,96,96,0,96,0,96,0,0,0,n/a,96,96,96,96,0,n/a
South Carolina,24,0,24,1,24,168,168,24,168,24*,168,24,24,24,24,168,168,168,24,24,n/a
South Dakota,72,0,0,1,0,72,72,0,72,72,72,0,n/a,n/a,n/a,72,72,72,72,72,72
Tennessee,23.9,0,168,4,168,168,168,23.9,168,23.9*,23.9,168,168,168,168,168,168,n/a,168,23.9,23.9
Texas,24.1,0,168,4,168,168,168,168,168,0,168,24.1,24.1,24.1,24.1,168,168,n/a,168,24.1,24.1
Utah,72.1,24,72.1,4,72.1,72.1,72.1,24,72.1,24,72.1,24,72.1,72.2,72.1,72.1,72.1,72.1,72.1,24,n/a
Vermont,24,0,24,1,24,24,24,24,24,24,24,24,24,24,24,24,n/a,24,24,24,n/a
Virginia,0,0,72,3,72,72,72,0,72,72,72,0,0,0,0,72,72,72,72,0,0
Washington,24,0,0,1,0,24,24,24,24,24,n/a,0,24,24,24,72.1,72.1,72.1,72.1,24,n/a
West Virginia,24,0,24,1,24,72,72,24,72,24,168,24,n/a,n/a,n/a,72,72,72,72,24,24
Wisconsin,72,0,72,3,72,72,72,72,72,0,72,0,72?,72?,72?,72,72,72,72,0,72
Wyoming,24,0,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
