State,Brucella Submission Timeline,Brucella Rank,Botulism Submission Timeline,Botulism Rank,E. coli O157 Submission Timeline,E. coli O157 Rank,Other Shiga-toxin E. coli Submission Timeline,Other Shiga-toxin E. coli Rank,Listeria Submission Timeline,Listeria Rank,Salmonella Submission Timeline,Salmonella Rank,Typhoid Fever Submission Timeline,Typhoid Fever Rank,Shigella Submission Timeline,Shigella Rank,Staphylococcus aureus Submission Timeline,Staphylococcus aureus Rank,Streptococcus Group A Submission Timeline,Streptococcus Group A Rank,Cholera Submission Timeline,Cholera Rank,V. vulnificus Submission Timeline,V. vulnificus Rank,V. parahaemolyticus Submission Timeline,V. parahaemolyticus Rank,Other Vibrio Submission Timeline,Other Vibrio Rank,Cryptosporidium Submission Timeline,Cryptosporidium Rank,Cyclospora Submission Timeline,Cyclospora Rank,Giardia Submission Timeline,Giardia Rank,Trichinella Submission Timeline,Trichinella Rank,Hepatitis A Submission Timeline,Hepatitis A Rank,Mycobacterium Bovis Submission Timeline,Mycobacterium Bovis Rank
Alabama,168,4,24,4,168,4,n/a,N,24,1,168,4,24,2,168,4,n/a,N,n/a,N,24,3,168,4,168,4,168,4,168,4,n/a,N,168,4,24,1,24,2,n/a,N
Alaska,120.1,4,0,1,120.1,4,n/a,N,120.1,4,120.1,3,120.1,4,120.1,3,n/a,N,120.1,3,120.1,4,120.1,4,120.1,4,120.1,4,120.1,3,120.1,4,120.1,3,120.1,3,n/a,N,n/a,N
Arizona,24.1,3,24,4,24,2,24,2,24,1,120.1*,3,24,2,120.1*,3,24,2,120.1,3,24.1*,4,120.1*,4,120.1*,4,120.1*,4,120.1*,3,120.1,4,120.1*,3,120.1,3,120.1*,4,24.1,2
Arkansas,24,2,0,1,n/a,N,n/a,N,24,1,24,1,24,2,24,1,n/a,N,24,1,24,3,n/a,N,n/a,N,n/a,N,24,1,24,1,24,1,n/a,N,24,2,n/a,N
California,0,1,0,1,0,1,0,1,24.1,2,24.1,1,24.1,3,24.1,2,24.1,3,24.1,2,0,1,24.1,2,24.1,2,24.1,2,24.1,1,n/a,N,168,4,24.1,1,24.1,3,n/a,N
Colorado,168,4,24,4,168,4,168,4,168,4,168,4,24,2,168,4,168*,4,168,4,24,3,168,4,168,4,168,4,168,4,168,4,168,4,168,4,24,2,24,1
Connecticut,0,1,0,1,12,1,12,1,12,1,12,1,12,2,12,1,0*,1,12,1,0,1,12,1,12,1,12,1,12,1,12,1,n/a,N,12,1,12,2,12,1
Delaware,0,1,0,1,0,1,0,1,48,2,48,2,0,1,48,2,0*,1,0,1,0,1,48,3,48,3,48,3,48,2,48,2,48,2,48,2,0,1,n/a,N
District of Columbia,48,3,2,4,2,1,2,1,48,2,24,1,2,2,24,1,2,2,2,1,2,2,48,3,48,3,48,3,48,2,48,2,48,2,48,2,48,4,48 (lab),3
Florida,0,1,0,1,0,1,0,1,0,1,24.2,2,0,1,24.2,2,0*,1,24.2,2,0,1,24.2,2,24.2,2,24.2,2,24.2,2,24.2,2,24.2,1,24.2,2,0,1,24.2,3
Georgia,0,1,0,1,0,1,0,1,168*,4,168*,4,168,4,168*,4,0,1,168,4,0,1,168,4,168,4,168,4,168*,4,168*,4,168*,4,n/a,N,0,1,n/a,N
Hawaii,0,1,0,1,72*,3,72*,3,72*,3,72*,3,0,1,72*,3,n/a,N,72,2,0,1,72*,3,72*,3,72*,3,72*,2,72,2,72*,2,72,2,0,1,n/a,N
Idaho,24.1,3,0,1,24.1,3,24.1,3,72.1,3,24.1,1,24.1,3,24.1,2,72.1,4,72.1,3,24.1,4,n/a,N,n/a,N,n/a,N,72.1,3,n/a,N,72.1,3,72.1,3,24.1,3,n/a,N
Illinois,3,2,3,4,8.1,1,24,2,168,4,168,4,24,2,168,4,24,2,24,1,24,3,168,4,168,4,168,4,168,4,168,4,168,4,168,4,24,2,n/a,N
Indiana,72,4,0,1,0,1,0,1,72,3,72,3,0,1,0,1,0,1,72,2,0,1,72,3,72,3,72,3,72,2,72,2,72,2,72,2,0,1,n/a,N
Iowa,72,4,0,1,72,3,72,3,24,1,72,3,24,2,72,3,0*,1,72,2,0,1,n/a,N,n/a,N,n/a,N,72,2,72,2,72,2,72,2,24,2,72,4
Kansas,168,4,4,4,168,4,168,4,168,4,168,4,168,4,168,4,n/a,N,168,4,4,2,n/a,N,n/a,N,n/a,N,168,4,168,4,168,4,168,4,168,4,n/a,N
Kentucky,0,1,0,1,24,2,24,2,24,1,24,1,24,2,24,1,0,1,24.1,2,24,3,24,1,24,1,n/a,N,24,1,n/a,N,n/a,N,n/a,N,24,2,24.1,2
Louisiana,24,2,24,4,24.1,3,24.1,3,72.2,3,24.1,1,24.1,3,24.1,2,24*,2,72.2,3,24,3,72.2,4,72.2,3,72.2,3,72.2,3,72.2,3,72.2,3,72.2,3,24.1,3,n/a,N
