State,Brucella Submission Timeline,Brucella Rank,Botulism Submission Timeline,Botulism Rank,E. coli O157 Submission Timeline,E. coli O157 Rank,Other Shiga-toxin E. coli Submission Timeline,Other Shiga-toxin E. coli Rank,Listeria Submission Timeline,Listeria Rank,Salmonella Submission Timeline,Salmonella Rank,Typhoid Fever Submission Timeline,Typhoid Fever Rank,Shigella Submission Timeline,Shigella Rank,Staphylococcus aureus Submission Timeline,Staphylococcus aureus Rank,Streptococcus Group A Submission Timeline,Streptococcus Group A Rank,Cholera Submission Timeline,Cholera Rank,V. vulnificus Submission Timeline,V. vulnificus Rank,V. parahaemolyticus Submission Timeline,V. parahaemolyticus Rank,Other Vibrio Submission Timeline,Other Vibrio Rank,Cryptosporidium Submission Timeline,Cryptosporidium Rank,Cyclospora Submission Timeline,Cyclospora Rank,Giardia Submission Timeline,Giardia Rank,Trichinella Submission Timeline,Trichinella Rank,Hepatitis A Submission Timeline,Hepatitis A Rank,Mycobacterium Bovis Submission Timeline,Mycobacterium Bovis Rank
New Jersey,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours  ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  Immediately,1,Reporting Timeline:  24 hours ,1
Virginia,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days ,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days ,4,Reporting Timeline:  3 days ,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  Immediately,1,Reporting Timeline:  Immediately ,1
New Mexico,Reporting Timeline: 24 hours,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Not Reportable,N,Reporting Timeline:  24 hours ,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours ,1
Wyoming,Reporting Timeline: 24 hours,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours ,1
Connecticut,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours ,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours ,2,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Not Reportable,N,Reporting Timeline:  Immediately ,1,Reporting Timeline:  12 hours ,1,Reporting Timeline:  12 hours ,1,Reporting Timeline:  12 hours ,1,Reporting Timeline:  12 hours,1,Reporting Timeline:  12 hours,1,Not Reportable,N,Reporting Timeline:  12 hours,1,Reporting Timeline:  12 hours,2,Reporting Timeline:  12 hours ,1
West Virginia,Reporting Timeline: 24 hours,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  72 hours; Isolate required: Y,3,Reporting Timeline:  72 hours; Isolate required: Y,3,Reporting Timeline:  24 hours ,2,Reporting Timeline:  72 hours; Isolate required: Y,3,Reporting Timeline:  24 hours ,2,Reporting Timeline:  1 week ,4,Reporting Timeline:  24 hours ,2,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours ,1
Colorado,Reporting Timeline: 7 days,4,Reporting Timeline:  24 hours ,3,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours ,1
Tennessee,Reporting Timeline: 1 business day,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week,4,Reporting Timeline:  1 week,4,Not Reportable,N,Reporting Timeline:  1 week,4,Reporting Timeline:  1 business day,3,Reporting Timeline:  1 business day ,2
Maryland,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Not Reportable,N,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day ,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  Immediately,1,Reporting Timeline:  1 business day ,2
Kentucky,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours  ,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day ,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Not Reportable,N,Reporting Timeline:  24 hours,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  24 hours,2,Reporting Timeline:  1 business day ,2
