State,Brucella Submission Timeline,Brucella Rank,Botulism Submission Timeline,Botulism Rank,E. coli O157 Submission Timeline,E. coli O157 Rank,Other Shiga-toxin E. coli Submission Timeline,Other Shiga-toxin E. coli Rank,Listeria Submission Timeline,Listeria Rank,Salmonella Submission Timeline,Salmonella Rank,Typhoid Fever Submission Timeline,Typhoid Fever Rank,Shigella Submission Timeline,Shigella Rank,Staphylococcus aureus Submission Timeline,Staphylococcus aureus Rank,Streptococcus Group A Submission Timeline,Streptococcus Group A Rank,Cholera Submission Timeline,Cholera Rank,V. vulnificus Submission Timeline,V. vulnificus Rank,V. parahaemolyticus Submission Timeline,V. parahaemolyticus Rank,Other Vibrio Submission Timeline,Other Vibrio Rank,Cryptosporidium Submission Timeline,Cryptosporidium Rank,Cyclospora Submission Timeline,Cyclospora Rank,Giardia Submission Timeline,Giardia Rank,Trichinella Submission Timeline,Trichinella Rank,Hepatitis A Submission Timeline,Hepatitis A Rank,Mycobacterium Bovis Submission Timeline,Mycobacterium Bovis Rank
Alabama,Reporting Timeline: 7 days; Isolate required: N,4,Reporting Timeline:  24 hours; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: N,4,Not Reportable,N,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  24 hours; Isolate required: N,2,Reporting Timeline:  7 days; Isolate required: N,4,Not Reportable,N,Not Reportable,N,Reporting Timeline:  24 hours; Isolate required: N,3,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  7 days,4,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Not Reportable,N
Alaska,Reporting Timeline: 5 working days; Isolate required: N,4,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  5 working days; Isolate required: N,4,Not Reportable,N,Reporting Timeline:  5 working days; Isolate required: N,4,Reporting Timeline:  5 working days; Isolate required: N,3,Reporting Timeline:  5 working days; Isolate required: N,4,Reporting Timeline:  5 working days; Isolate required: N,3,Not Reportable,N,Reporting Timeline:  5 working days; Isolate required: N,3,Reporting Timeline:  5 working days; Isolate required: N,4,Reporting Timeline:  5 working days; Isolate required: N,4,Reporting Timeline:  5 working days; Isolate required: N,4,Reporting Timeline:  5 working days; Isolate required: N,4,Reporting Timeline:  5 working days,3,Reporting Timeline:  5 working days,4,Reporting Timeline:  5 working days,3,Reporting Timeline:  5 working days,3,Reporting Timeline:  5 working days,N,Not Reportable,N
Arizona,Reporting Timeline: 1 working day; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Local health agency ensures specimen is submitted,4,Reporting Timeline:  24 hours; Isolate required: Y (1 working day),2,Reporting Timeline:  24 hours; Isolate required: Y (1 working day),2,Reporting Timeline:  24 hours; Isolate required: Y (1 working day),1,"Reporting Timeline:  5 working days; 24 hours if case is a food handler, health care institution or child care establishment; 24 hours if outbreak; Isolate required: Y (1 working day)",3,Reporting Timeline:  24 hours; Isolate required: Y (1 working day),2,"Reporting Timeline:  5 working days; 24 hours if case is a food handler, health care institution or child care establishment; 24 hours if outbreak; Isolate required: Y (1 working day)",3,Reporting Timeline:  24 hours; Isolate required: Y (1 working day),2,Reporting Timeline:  5 working days; Isolate required: N (pneumoniae only),3,"Reporting Timeline:  1 working day (5 working days; 24 hours if case is a food handler, health care institution or child care establishment; 24 hours if outbreak); Isolate required: Y (1 working day)",4,"Reporting Timeline:  5 working days; 24 hours if case is a food handler, health care institution or child care establishment; 24 hours if outbreak; Isolate required: Y (1 working day)",4,"Reporting Timeline:  5 working days; 24 hours if case is a food handler, health care institution or child care establishment; 24 hours if outbreak; Isolate required: Y (1 working day)",4,"Reporting Timeline:  5 working days; 24 hours if case is a food handler, health care institution or child care establishment; 24 hours if outbreak; Isolate required: Y (1 working day)",4,"Reporting Timeline:  5 working days; 24 hours if case is a food handler, health care institution or child care establishment; 24 hours if outbreak",3,Reporting Timeline:  5 working days,4,"Reporting Timeline:  5 working days; 24 hours if case is a food handler, health care institution or child care establishment; 24 hours if outbreak",3,Reporting Timeline:  5 working days,3,"Reporting Timeline:  5 working days; 24 hours if case is a food handler, health care institution or child care establishment; 24 hours if outbreak",4,"Reporting Timeline:  1 working day; Isolate required: Y (5 working days; only when an intial positive result, when a change in resistance pattern is detected or positive result obtained >12 months after initial positive test result for individual)",2
Arkansas,Reporting Timeline: 24 hours; Isolate required: N,2,Reporting Timeline:  Immediately; Isolate required: N,1,Not Reportable,N,Not Reportable,N,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  If outbreak related; Isolate required: Y,1,Not Reportable,N,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,3,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Not Reportable,N,Reporting Timeline:  24 hours,2,Not Reportable,N
California,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  1 working day; Isolate required: N,2,Reporting Timeline:  1 working day; Isolate required: Y,1,Reporting Timeline:  1 working day; Isolate required: Y,3,Reporting Timeline:  1 working day; Isolate required: N,2,Reporting Timeline:  1 working day; Isolate required: N,3,Reporting Timeline:  1 working day; Isolate required: N,2,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  1 working day; Isolate required: N,2,Reporting Timeline:  1 working day; Isolate required: N,2,Reporting Timeline:  1 working day; Isolate required: N,2,Reporting Timeline:  1 working day,1,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,3,Not Reportable,N
Colorado,Reporting Timeline: 7 days; Isolate required: N,4,"Reporting Timeline:  24 hours; Isolate required: Y (""Specimens should be sent…"")",4,Reporting Timeline:  7 days; Isolate required: Y (requests all specimens be submitted),4,Reporting Timeline:  7 days; Isolate required: Y (requests all specimens be submitted),4,Reporting Timeline:  7 days; Isolate required: Y (requests all specimens be submitted),4,Reporting Timeline:  7 days; Isolate required: Y (requests all specimens be submitted),4,Reporting Timeline:  24 hours; Isolate required: Y (labs are encouraged to submit specimens),2,Reporting Timeline:  7 days; Isolate required: Y (requests all specimens be submitted),4,Reporting Timeline:  7 days for VRSA; 30 days for MRSA; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  24 hours; Isolate required: Y (requests all specimens be submitted),3,Reporting Timeline:  7 days; Isolate required: Y (requests all specimens be submitted),4,Reporting Timeline:  7 days; Isolate required: Y (requests all specimens be submitted),4,Reporting Timeline:  7 days; Isolate required: Y (requests all specimens be submitted),4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours; Isolate required: N,1
Connecticut,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours; Isolate required: Y,2,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  Immediately if VISA/VRSA; 12 hours if MRSA; Isolate required: Y,1,Not Reportable,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours; Isolate required: Y,1,Reporting Timeline:  12 hours,1,Reporting Timeline:  12 hours,1,Not Reportable,N,Reporting Timeline:  12 hours,1,Reporting Timeline:  12 hours,2,Reporting Timeline:  12 hours; Isolate required: Y,1
Delaware,"Reporting Timeline: Immediately [report by rapid means (telephone, fax or other electronic means)]; Isolate required: Y - immediately",1,"Reporting Timeline:  report by rapid means (telephone, fax or other electronic means); Isolate required: Y - immediately",1,"Reporting Timeline:  report by rapid means (telephone, fax or other electronic means); Isolate required: Y - 24 hours",1,"Reporting Timeline:  report by rapid means (telephone, fax or other electronic means); Isolate required: Y - 24 hours",1,Reporting Timeline:  48 hours; Isolate required: Y - 24 hours,2,Reporting Timeline:  48 hours; Isolate required: Y - 24 hours,2,"Reporting Timeline:  report by rapid means (telephone, fax or other electronic means); Isolate required: N",1,Reporting Timeline:  48 hours; Isolate required: Y - 24 hours,2,"Reporting Timeline:  VISA/VRSA: report by rapid means (telephone, fax or other electronic means); MRSA: 48 hours; Isolate required: Y - 24 hours",1,"Reporting Timeline:  report by rapid means (telephone, fax or other electronic means); Isolate required: N ( only for pneumoniae, sterile sites, Penicillin resistant)",1,"Reporting Timeline:  report by rapid means (telephone, fax or other electronic means); Isolate required: Y - 24 hours",1,Reporting Timeline:  48 hours; Isolate required: Y - 24 hours,3,Reporting Timeline:  48 hours; Isolate required: Y - 24 hours,3,Reporting Timeline:  48 hours; Isolate required: Y - 24 hours,3,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,"Reporting Timeline:  report by rapid means (telephone, fax or other electronic means)",1,Not Reportable,N
District of Columbia,Reporting Timeline: 48 hours; Isolate required: N,3,Reporting Timeline:  2 hours; Isolate required: N,4,Reporting Timeline:  2 hours; Isolate required: N,1,Reporting Timeline:  2 hours; Isolate required: N,1,Reporting Timeline:  48 hours; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  2 hours; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  2 hours; Isolate required: N,2,Reporting Timeline:  2 hours; Isolate required: N,1,Reporting Timeline:  2 hours; Isolate required: N,2,Reporting Timeline:  48 hours; Isolate required: N,3,Reporting Timeline:  48 hours; Isolate required: N,3,Reporting Timeline:  48 hours; Isolate required: N,3,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,4,Reporting Timeline:  48 hours (lab); Isolate required: Y (active fast bacilli?),3
Florida,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Next business day; Isolate required: N,2,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Next business day; Isolate required: N,2,Reporting Timeline:  Immediately if VISA/VRSA; Next business day otherwise; Isolate required: Y (VISA/VRSA only),1,Reporting Timeline:  Next business day; Isolate required: N,2,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Next business day; Isolate required: Y,2,Reporting Timeline:  Next business day; Isolate required: Y,2,Reporting Timeline:  Next business day; Isolate required: Y,2,Reporting Timeline:  Next business day,2,Reporting Timeline:  Next business day,2,Reporting Timeline:  Next business day,1,Reporting Timeline:  Next business day,2,Reporting Timeline:  Immediately,1,Reporting Timeline:  Next business day; Isolate required: N,3
